DateTime,Sequence,DeviceId,IncidentCode,IncidentDesc,Severity
20:50.0,9910000,1311,CS21,GateOpen,Warn
11:02.0,9910003,1311,SH13,FailToCloseGate,Error
20:17.0,9910047,1311,CS21,GateOpen,Warn
53:40.0,9910058,1311,CS12,GateStuck,Warn
53:40.0,9910058,1311,MS14,ModuleUndocked,Error
53:40.0,9910058,1311,SH13,FailToCloseGate,Error
40:22.0,9910074,1311,CS21,GateOpen,Warn
33:59.0,9910104,1308,CS31,GateOpen,Warn
06:23.0,9910110,1308,CS12,GateStuck,Warn
06:23.0,9910110,1308,CS31,GateOpen,Warn
06:23.0,9910110,1308,MS14,ModuleUndocked,Error
50:22.0,9910111,1311,CS21,GateOpen,Warn
05:45.0,9910112,1308,CS13,ModuleDocked,Warn
14:45.0,9910114,1308,CS31,GateOpen,Warn
51:29.0,9910118,1311,CS21,GateOpen,Warn
52:06.0,9910119,1311,CS21,GateOpen,Warn
52:55.0,9910120,1311,CS21,GateOpen,Warn
54:29.0,9910121,1311,CS21,GateOpen,Warn
55:09.0,9910124,1311,CS21,GateOpen,Warn
56:46.0,9910126,1311,CS21,GateOpen,Warn
15:29.0,9910148,1308,CS31,GateOpen,Warn
16:15.0,9910149,1308,CS31,GateOpen,Warn
16:56.0,9910150,1308,CS31,GateOpen,Warn
17:37.0,9910152,1308,CS31,GateOpen,Warn
18:15.0,9910153,1308,CS31,GateOpen,Warn
19:05.0,9910155,1308,CS31,GateOpen,Warn
19:48.0,9910156,1308,CS31,GateOpen,Warn
20:48.0,9910157,1308,CS31,GateOpen,Warn
21:27.0,9910159,1308,CS31,GateOpen,Warn
22:09.0,9910161,1308,CS31,GateOpen,Warn
22:48.0,9910162,1308,CS31,GateOpen,Warn
23:26.0,9910163,1308,CS31,GateOpen,Warn
24:06.0,9910165,1308,CS31,GateOpen,Warn
24:43.0,9910166,1308,CS31,GateOpen,Warn
28:18.0,9910168,1308,CS31,GateOpen,Warn
26:12.0,9910169,1308,CS31,GateOpen,Warn
25:24.0,9910170,1308,CS31,GateOpen,Warn
29:09.0,9910172,1308,CS31,GateOpen,Warn
30:07.0,9910173,1308,CS31,GateOpen,Warn
30:51.0,9910175,1308,CS31,GateOpen,Warn
32:08.0,9910176,1308,CS31,GateOpen,Warn
33:28.0,9910178,1308,CS31,GateOpen,Warn
34:05.0,9910180,1308,CS31,GateOpen,Warn
34:43.0,9910181,1308,CS31,GateOpen,Warn
35:25.0,9910182,1308,CS31,GateOpen,Warn
36:05.0,9910183,1308,CS31,GateOpen,Warn
37:05.0,9910186,1308,CS31,GateOpen,Warn
37:43.0,9910187,1308,CS31,GateOpen,Warn
38:27.0,9910188,1308,CS31,GateOpen,Warn
39:12.0,9910189,1308,CS31,GateOpen,Warn
40:10.0,9910191,1308,CS31,GateOpen,Warn
41:14.0,9910193,1308,CS31,GateOpen,Warn
41:59.0,9910194,1308,CS31,GateOpen,Warn
43:00.0,9910195,1308,CS31,GateOpen,Warn
43:45.0,9910196,1308,CS31,GateOpen,Warn
44:53.0,9910197,1308,CS31,GateOpen,Warn
46:05.0,9910200,1308,CS31,GateOpen,Warn
46:52.0,9910201,1308,CS13,ModuleDocked,Warn
48:10.0,9910202,1308,CS13,ModuleDocked,Warn
48:50.0,9910203,1308,CS13,ModuleDocked,Warn
49:53.0,9910206,1308,CS13,ModuleDocked,Warn
